player,player_upper,api_id,birthday,season_age,position,position_type,shoots,team,season,session,gp,toi,toi_gp,toi_perc,g,a1,a2,points,isf,iff,icf
Troy Bodie,TROY.BODIE,8470867,1985-01-25,25.0,R,F,R,CAR,20102011,R,50.0,315.62,6.31,10.34,1.0,2.0,0.0,3.0,39.0,50.0,75.0
Troy Brouwer,TROY.BROUWER,8471426,1985-08-17,25.0,R,F,R,CHI,20102011,R,79.0,1193.43,15.11,24.78,17.0,13.0,6.0,36.0,122.0,173.0,220.0
Tuomo Ruutu,TUOMO.RUUTU,8469462,1983-02-16,27.0,R,F,L,CAR,20102011,R,81.0,1362.72,16.82,27.6,19.0,20.0,18.0,57.0,147.0,218.0,301.0
Ty Wishart,TY.WISHART,8473501,1988-05-19,22.0,D,D,L,NYI,20102011,R,20.0,336.35,16.82,27.47,1.0,1.0,3.0,5.0,23.0,35.0,53.0
Tyler Bozak,TYLER.BOZAK,8475098,1986-03-19,24.0,C,F,R,TOR,20102011,R,82.0,1581.02,19.28,31.65,15.0,9.0,8.0,32.0,120.0,165.0,202.0
Tyler Eckford,TYLER.ECKFORD,8471429,1985-09-08,25.0,D,D,L,N.J,20102011,R,4.0,34.87,8.72,14.53,0.0,0.0,0.0,0.0,1.0,2.0,4.0
Tyler Ennis,TYLER.ENNIS,8474589,1989-10-06,20.0,C,F,L,BUF,20102011,R,82.0,1285.17,15.67,25.71,20.0,19.0,10.0,49.0,210.0,277.0,340.0
Tyler Kennedy,TYLER.KENNEDY,8471311,1986-07-15,24.0,C,F,R,PIT,20102011,R,80.0,1162.28,14.53,23.78,21.0,17.0,7.0,45.0,234.0,307.0,402.0
Tyler Myers,TYLER.MYERS,8474574,1990-02-01,20.0,D,D,R,BUF,20102011,R,80.0,1796.57,22.46,36.82,10.0,13.0,14.0,37.0,122.0,181.0,270.0
Tyler Seguin,TYLER.SEGUIN,8475794,1992-01-31,18.0,C,F,R,BOS,20102011,R,74.0,903.53,12.21,20.12,11.0,9.0,2.0,22.0,131.0,172.0,207.0
Tyler Sloan,TYLER.SLOAN,8468846,1981-03-15,29.0,D,D,L,WSH,20102011,R,32.0,396.37,12.39,20.39,1.0,1.0,4.0,6.0,11.0,16.0,29.0
Tyson Strachan,TYSON.STRACHAN,8470729,1984-10-30,25.0,D,D,R,STL,20102011,R,29.0,352.07,12.14,19.95,0.0,1.0,0.0,1.0,28.0,42.0,60.0
Valtteri Filppula,VALTTERI.FILPPULA,8470047,1984-03-20,26.0,C,F,L,DET,20102011,R,71.0,1186.85,16.72,27.41,16.0,12.0,11.0,39.0,115.0,164.0,228.0
Vernon Fiddler,VERNON.FIDDLER,8469759,1980-05-09,30.0,L,F,L,ARI,20102011,R,71.0,1103.45,15.54,25.45,6.0,11.0,5.0,22.0,97.0,127.0,163.0
Victor Hedman,VICTOR.HEDMAN,8475167,1990-12-18,19.0,D,D,L,T.B,20102011,R,79.0,1659.7,21.01,34.34,3.0,9.0,14.0,26.0,101.0,155.0,243.0
Victor Oreskovich,VICTOR.ORESKOVICH,8471268,1986-08-15,24.0,R,F,R,VAN,20102011,R,16.0,126.43,7.9,13.14,0.0,2.0,1.0,3.0,19.0,22.0,24.0
Viktor Stalberg,VIKTOR.STALBERG,8473537,1986-01-17,24.0,L,F,L,CHI,20102011,R,77.0,823.77,10.7,17.56,12.0,9.0,3.0,24.0,135.0,190.0,222.0
Ville Leino,VILLE.LEINO,8474551,1983-10-06,26.0,L,F,L,PHI,20102011,R,81.0,1297.3,16.02,26.32,19.0,18.0,16.0,53.0,117.0,153.0,196.0
Vincent Lecavalier,VINCENT.LECAVALIER,8467329,1980-04-21,30.0,C,F,L,T.B,20102011,R,65.0,1198.88,18.44,30.11,25.0,20.0,9.0,54.0,210.0,275.0,348.0
Vinny Prospal,VINNY.PROSPAL,8459492,1975-02-17,35.0,L,F,L,NYR,20102011,R,29.0,444.62,15.33,25.19,9.0,6.0,8.0,23.0,61.0,73.0,90.0
Vladimir Sobotka,VLADIMIR.SOBOTKA,8471743,1987-07-02,23.0,C,F,L,STL,20102011,R,65.0,1051.55,16.18,26.59,7.0,15.0,7.0,29.0,75.0,102.0,140.0
Vladimir Zharkov,VLADIMIR.ZHARKOV,8473592,1988-01-10,22.0,R,F,L,N.J,20102011,R,38.0,430.58,11.33,18.6,2.0,0.0,2.0,4.0,40.0,54.0,59.0
Wade Belak,WADE.BELAK,8460502,1976-07-03,34.0,R,F,R,NSH,20102011,R,15.0,56.65,3.78,6.25,0.0,0.0,0.0,0.0,4.0,5.0,5.0
Warren Peters,WARREN.PETERS,8468887,1982-07-10,28.0,C,F,L,MIN,20102011,R,11.0,95.83,8.71,14.34,1.0,0.0,0.0,1.0,11.0,17.0,19.0
Wayne Simmonds,WAYNE.SIMMONDS,8474190,1988-08-26,22.0,R,F,R,L.A,20102011,R,80.0,1076.4,13.46,22.09,14.0,6.0,10.0,30.0,117.0,165.0,226.0
Willie Mitchell,WILLIE.MITCHELL,8465185,1977-04-23,33.0,D,D,L,L.A,20102011,R,57.0,1243.45,21.81,35.76,5.0,1.0,4.0,10.0,59.0,94.0,152.0
Wojtek Wolski,WOJTEK.WOLSKI,8471234,1986-02-24,24.0,L,F,L,ARI,20102011,R,36.0,528.78,14.69,24.1,6.0,6.0,4.0,16.0,57.0,75.0,90.0
Wojtek Wolski,WOJTEK.WOLSKI,8471234,1986-02-24,24.0,L,F,L,NYR,20102011,R,37.0,535.6,14.48,23.7,6.0,6.0,7.0,19.0,78.0,103.0,127.0
Yann Sauve,YANN.SAUVE,8474601,1990-02-18,20.0,D,D,L,VAN,20102011,R,5.0,65.0,13.0,21.67,0.0,0.0,0.0,0.0,6.0,6.0,9.0
Yannick Weber,YANNICK.WEBER,8474134,1988-09-23,21.0,D,D,R,MTL,20102011,R,41.0,678.9,16.56,27.15,1.0,3.0,7.0,11.0,63.0,105.0,162.0
Zac Dalpe,ZAC.DALPE,8474610,1989-11-01,20.0,C,F,R,CAR,20102011,R,14.0,114.85,8.2,13.36,3.0,0.0,1.0,4.0,16.0,22.0,28.0
Zach Bogosian,ZACH.BOGOSIAN,8474567,1990-07-15,20.0,D,D,R,ATL,20102011,R,71.0,1590.63,22.4,36.73,5.0,5.0,7.0,17.0,155.0,224.0,308.0
Zach Boychuk,ZACH.BOYCHUK,8474576,1989-10-04,20.0,L,F,L,CAR,20102011,R,23.0,246.62,10.72,17.63,4.0,1.0,2.0,7.0,44.0,51.0,63.0
Zach Hamill,ZACH.HAMILL,8474045,1988-09-23,21.0,C,F,R,BOS,20102011,R,3.0,31.42,10.47,17.45,0.0,0.0,1.0,1.0,1.0,2.0,4.0
Zach Parise,ZACH.PARISE,8470610,1984-07-28,26.0,L,F,L,N.J,20102011,R,13.0,258.15,19.86,32.99,3.0,2.0,1.0,6.0,49.0,58.0,65.0
Zack Smith,ZACK.SMITH,8474250,1988-04-05,22.0,C,F,L,OTT,20102011,R,55.0,693.35,12.61,20.74,4.0,2.0,3.0,9.0,78.0,102.0,134.0
Zack Stortini,ZACK.STORTINI,8470687,1985-09-11,25.0,R,F,R,EDM,20102011,R,32.0,226.98,7.09,11.65,0.0,3.0,1.0,4.0,16.0,25.0,36.0
Zbynek Michalek,ZBYNEK.MICHALEK,8469760,1982-12-23,27.0,D,D,R,PIT,20102011,R,73.0,1594.22,21.84,35.67,5.0,8.0,6.0,19.0,104.0,147.0,229.0
Zdeno Chara,ZDENO.CHARA,8465009,1977-03-18,33.0,D,D,L,BOS,20102011,R,81.0,2059.75,25.43,41.86,14.0,12.0,18.0,44.0,264.0,363.0,511.0
Zenon Konopka,ZENON.KONOPKA,8469820,1981-01-02,29.0,C,F,L,NYI,20102011,R,82.0,835.57,10.19,16.67,2.0,3.0,4.0,9.0,56.0,69.0,76.0
Aaron Gagnon,AARON.GAGNON,8471451,1986-04-24,25.0,C,F,R,WPG,20112012,R,7.0,66.13,9.45,15.27,0.0,0.0,0.0,0.0,6.0,9.0,12.0
Aaron Johnson,AARON.JOHNSON,8469534,1983-04-30,28.0,D,D,L,CBJ,20112012,R,56.0,924.4,16.51,27.26,3.0,6.0,7.0,16.0,63.0,89.0,118.0
Aaron Ness,AARON.NESS,8474604,1990-05-18,21.0,D,D,L,NYI,20112012,R,9.0,152.43,16.94,27.89,0.0,0.0,0.0,0.0,6.0,13.0,18.0
Aaron Palushaj,AARON.PALUSHAJ,8474030,1989-09-07,22.0,R,F,R,MTL,20112012,R,38.0,287.52,7.57,12.28,1.0,1.0,3.0,5.0,37.0,51.0,70.0
Aaron Rome,AARON.ROME,8470310,1983-09-27,27.0,D,D,L,VAN,20112012,R,43.0,654.73,15.23,24.73,4.0,3.0,3.0,10.0,42.0,70.0,105.0
Aaron Volpatti,AARON.VOLPATTI,8475619,1985-05-30,26.0,L,F,L,VAN,20112012,R,23.0,206.28,8.97,14.82,1.0,0.0,0.0,1.0,17.0,23.0,35.0
Adam Burish,ADAM.BURISH,8470063,1983-01-06,28.0,R,F,R,DAL,20112012,R,65.0,831.22,12.79,20.98,6.0,7.0,6.0,19.0,82.0,113.0,140.0
Adam Cracknell,ADAM.CRACKNELL,8471490,1985-07-15,26.0,R,F,R,STL,20112012,R,2.0,15.28,7.64,12.74,1.0,0.0,0.0,1.0,1.0,2.0,2.0
Adam Hall,ADAM.HALL,8467925,1980-08-14,31.0,R,F,R,T.B,20112012,R,57.0,676.35,11.87,19.48,2.0,4.0,1.0,7.0,63.0,81.0,89.0
Adam Henrique,ADAM.HENRIQUE,8474641,1990-02-06,21.0,C,F,L,N.J,20112012,R,74.0,1343.85,18.16,29.77,16.0,18.0,17.0,51.0,130.0,164.0,189.0
Adam Larsson,ADAM.LARSSON,8476457,1992-11-12,18.0,D,D,R,N.J,20112012,R,65.0,1340.33,20.62,33.74,2.0,8.0,8.0,18.0,68.0,93.0,153.0
Adam McQuaid,ADAM.MCQUAID,8471717,1986-10-12,24.0,D,D,R,BOS,20112012,R,72.0,1076.57,14.95,24.59,2.0,2.0,6.0,10.0,63.0,89.0,157.0
Adam Pardy,ADAM.PARDY,8471385,1984-03-29,27.0,D,D,L,DAL,20112012,R,36.0,592.9,16.47,27.3,0.0,0.0,3.0,3.0,29.0,37.0,56.0
Adrian Aucoin,ADRIAN.AUCOIN,8459053,1973-07-03,38.0,D,D,R,ARI,20112012,R,64.0,1295.87,20.25,33.13,2.0,0.0,7.0,9.0,92.0,141.0,201.0
Akim Aliu,AKIM.ALIU,8474049,1989-04-24,22.0,R,F,R,CGY,20112012,R,2.0,22.07,11.03,18.39,2.0,0.0,1.0,3.0,3.0,3.0,4.0
Alec Martinez,ALEC.MARTINEZ,8474166,1987-07-26,24.0,D,D,L,L.A,20112012,R,51.0,750.72,14.72,24.1,6.0,5.0,1.0,12.0,78.0,107.0,166.0
Ales Hemsky,ALES.HEMSKY,8469466,1983-08-13,28.0,R,F,R,EDM,20112012,R,69.0,1214.4,17.6,28.9,10.0,13.0,13.0,36.0,137.0,186.0,256.0
Alex Bolduc,ALEX.BOLDUC,8470719,1985-06-26,26.0,C,F,L,ARI,20112012,R,2.0,14.32,7.16,11.45,0.0,0.0,0.0,0.0,1.0,2.0,2.0
Alex Burmistrov,ALEX.BURMISTROV,8475788,1991-10-21,19.0,C,F,L,WPG,20112012,R,76.0,1266.35,16.66,27.41,13.0,7.0,8.0,28.0,123.0,180.0,231.0
Alex Burrows,ALEX.BURROWS,8470358,1981-04-11,30.0,L,F,L,VAN,20112012,R,80.0,1477.95,18.47,30.15,28.0,18.0,6.0,52.0,198.0,273.0,341.0
Alex Edler,ALEX.EDLER,8471303,1986-04-21,25.0,D,D,L,VAN,20112012,R,82.0,1956.9,23.86,38.97,11.0,16.0,22.0,49.0,228.0,324.0,493.0
Alex Giroux,ALEX.GIROUX,8468086,1981-06-16,30.0,L,F,L,CBJ,20112012,R,9.0,109.77,12.2,20.33,1.0,0.0,0.0,1.0,18.0,21.0,27.0
Alex Goligoski,ALEX.GOLIGOSKI,8471274,1985-07-30,26.0,D,D,L,DAL,20112012,R,71.0,1616.77,22.77,37.42,9.0,13.0,8.0,30.0,140.0,225.0,338.0
Alex Ovechkin,ALEX.OVECHKIN,8471214,1985-09-17,25.0,L,F,R,WSH,20112012,R,78.0,1543.9,19.79,32.55,38.0,14.0,13.0,65.0,303.0,438.0,610.0
Alex Picard,ALEX.PICARD,8470678,1985-07-05,26.0,D,D,L,PIT,20112012,R,17.0,223.42,13.14,21.8,0.0,2.0,2.0,4.0,10.0,13.0,19.0
Alex Pietrangelo,ALEX.PIETRANGELO,8474565,1990-01-18,21.0,D,D,R,STL,20112012,R,81.0,2002.7,24.72,40.52,12.0,21.0,18.0,51.0,202.0,316.0,460.0
Alex Plante,ALEX.PLANTE,8474046,1989-05-09,22.0,D,D,R,EDM,20112012,R,3.0,31.93,10.64,17.74,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Alex Radulov,ALEX.RADULOV,8471228,1986-07-05,25.0,R,F,L,NSH,20112012,R,9.0,174.13,19.35,31.95,3.0,3.0,1.0,7.0,21.0,28.0,35.0
Alex Semin,ALEX.SEMIN,8470120,1984-03-03,27.0,R,F,R,WSH,20112012,R,77.0,1292.83,16.79,27.62,21.0,22.0,11.0,54.0,183.0,281.0,394.0
Alex Steen,ALEX.STEEN,8470257,1984-03-01,27.0,C,F,L,STL,20112012,R,43.0,822.45,19.13,31.41,15.0,8.0,5.0,28.0,134.0,191.0,278.0
Alex Sulzer,ALEX.SULZER,8470685,1984-05-30,27.0,D,D,L,BUF,20112012,R,15.0,289.53,19.3,31.42,3.0,2.0,3.0,8.0,22.0,33.0,51.0
Alex Sulzer,ALEX.SULZER,8470685,1984-05-30,27.0,D,D,L,VAN,20112012,R,12.0,191.7,15.98,26.41,0.0,1.0,0.0,1.0,11.0,14.0,28.0
Alex Tanguay,ALEX.TANGUAY,8467338,1979-11-21,31.0,L,F,L,CGY,20112012,R,64.0,1218.92,19.05,31.19,13.0,25.0,11.0,49.0,84.0,122.0,160.0
Alex Urbom,ALEX.URBOM,8475248,1990-12-20,20.0,D,D,L,N.J,20112012,R,5.0,67.98,13.6,22.29,1.0,0.0,0.0,1.0,3.0,5.0,5.0
Alexei Emelin,ALEXEI.EMELIN,8471296,1986-04-25,25.0,D,D,L,MTL,20112012,R,67.0,1158.77,17.3,28.26,3.0,3.0,1.0,7.0,62.0,87.0,146.0
Alexei Ponikarovsky,ALEXEI.PONIKAROVSKY,8467412,1980-04-09,31.0,L,F,L,CAR,20112012,R,49.0,728.68,14.87,24.49,7.0,3.0,5.0,15.0,98.0,136.0,184.0
Alexei Ponikarovsky,ALEXEI.PONIKAROVSKY,8467412,1980-04-09,31.0,L,F,L,N.J,20112012,R,33.0,480.55,14.56,23.8,7.0,6.0,5.0,18.0,58.0,74.0,91.0
Andre Deveaux,ANDRE.DEVEAUX,8470301,1984-02-23,27.0,C,F,R,NYR,20112012,R,9.0,48.38,5.38,8.88,0.0,0.0,1.0,1.0,2.0,4.0,4.0
Andre Petersson,ANDRE.PETERSSON,8474670,1990-09-11,21.0,R,F,R,OTT,20112012,R,1.0,5.03,5.03,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Engqvist,ANDREAS.ENGQVIST,8475372,1987-12-23,23.0,C,F,R,MTL,20112012,R,12.0,79.17,6.6,10.82,0.0,0.0,0.0,0.0,3.0,8.0,11.0
Andreas Lilja,ANDREAS.LILJA,8468534,1975-07-13,36.0,D,D,L,PHI,20112012,R,46.0,629.62,13.69,22.55,0.0,3.0,3.0,6.0,35.0,44.0,55.0
Andreas Nodl,ANDREAS.NODL,8473568,1987-02-28,24.0,R,F,L,CAR,20112012,R,48.0,579.35,12.07,19.79,3.0,3.0,1.0,7.0,60.0,93.0,116.0
Andreas Nodl,ANDREAS.NODL,8473568,1987-02-28,24.0,R,F,L,PHI,20112012,R,12.0,123.5,10.29,17.0,0.0,1.0,0.0,1.0,6.0,10.0,13.0
Andrei Kostitsyn,ANDREI.KOSTITSYN,8470603,1985-02-03,26.0,L,F,L,MTL,20112012,R,53.0,804.65,15.18,24.92,12.0,6.0,6.0,24.0,93.0,122.0,173.0
Andrei Kostitsyn,ANDREI.KOSTITSYN,8470603,1985-02-03,26.0,L,F,L,NSH,20112012,R,19.0,283.68,14.93,24.56,4.0,4.0,4.0,12.0,29.0,44.0,63.0
Andrei Loktionov,ANDREI.LOKTIONOV,8474681,1990-05-30,21.0,C,F,L,L.A,20112012,R,39.0,488.65,12.53,20.49,3.0,4.0,0.0,7.0,60.0,77.0,112.0
Andrei Markov,ANDREI.MARKOV,8467496,1978-12-20,32.0,D,D,L,MTL,20112012,R,13.0,234.1,18.01,29.01,0.0,2.0,1.0,3.0,17.0,22.0,38.0
Andrej Meszaros,ANDREJ.MESZAROS,8471236,1985-10-13,25.0,D,D,L,PHI,20112012,R,62.0,1281.2,20.66,33.92,7.0,11.0,7.0,25.0,114.0,156.0,239.0
Andrej Sekera,ANDREJ.SEKERA,8471284,1986-06-08,25.0,D,D,L,BUF,20112012,R,69.0,1352.58,19.6,32.11,3.0,4.0,6.0,13.0,88.0,125.0,185.0
Andrew Alberts,ANDREW.ALBERTS,8469626,1981-06-30,30.0,D,D,L,VAN,20112012,R,44.0,629.05,14.3,23.27,2.0,0.0,1.0,3.0,19.0,30.0,61.0
Andrew Brunette,ANDREW.BRUNETTE,8459596,1973-08-24,38.0,L,F,L,CHI,20112012,R,78.0,1056.87,13.55,22.2,12.0,11.0,4.0,27.0,75.0,100.0,116.0
Andrew Cogliano,ANDREW.COGLIANO,8471699,1987-06-14,24.0,C,F,L,ANA,20112012,R,82.0,1205.88,14.71,24.18,13.0,9.0,4.0,26.0,115.0,157.0,207.0
Andrew Desjardins,ANDREW.DESJARDINS,8471956,1986-07-27,25.0,C,F,L,S.J,20112012,R,76.0,728.2,9.58,15.68,4.0,9.0,4.0,17.0,80.0,107.0,132.0
Andrew Ebbett,ANDREW.EBBETT,8473682,1983-01-02,28.0,C,F,L,VAN,20112012,R,18.0,172.5,9.58,15.65,5.0,0.0,1.0,6.0,27.0,36.0,39.0
Andrew Ference,ANDREW.FERENCE,8466333,1979-03-17,32.0,D,D,L,BOS,20112012,R,72.0,1359.95,18.89,31.02,6.0,7.0,11.0,24.0,107.0,156.0,231.0
Andrew Gordon,ANDREW.GORDON,8471409,1985-12-13,25.0,R,F,R,ANA,20112012,R,37.0,401.63,10.85,17.84,2.0,2.0,1.0,5.0,38.0,58.0,73.0
Andrew Joudrey,ANDREW.JOUDREY,8470838,1984-07-15,27.0,C,F,L,CBJ,20112012,R,1.0,9.27,9.27,15.44,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Andrew Ladd,ANDREW.LADD,8471217,1985-12-12,25.0,L,F,L,WPG,20112012,R,82.0,1604.4,19.57,32.18,28.0,13.0,9.0,50.0,265.0,351.0,431.0
Andrew MacDonald,ANDREW.MACDONALD,8473584,1986-09-07,25.0,D,D,L,NYI,20112012,R,75.0,1753.12,23.37,38.34,5.0,2.0,12.0,19.0,71.0,112.0,202.0
Andrew Murray,ANDREW.MURRAY,8469685,1981-11-06,29.0,C,F,L,S.J,20112012,R,39.0,300.48,7.7,12.56,1.0,2.0,1.0,4.0,33.0,45.0,52.0
Andrew Shaw,ANDREW.SHAW,8476381,1991-07-20,20.0,C,F,R,CHI,20112012,R,37.0,562.68,15.21,24.8,12.0,8.0,3.0,23.0,74.0,99.0,130.0
Andy Greene,ANDY.GREENE,8472382,1982-10-30,28.0,D,D,L,N.J,20112012,R,56.0,1092.3,19.51,31.92,1.0,7.0,8.0,16.0,53.0,85.0,118.0
Andy McDonald,ANDY.MCDONALD,8468434,1977-08-25,34.0,C,F,L,STL,20112012,R,25.0,463.13,18.53,30.47,10.0,5.0,7.0,22.0,64.0,85.0,108.0
Andy Miele,ANDY.MIELE,8476206,1988-04-15,23.0,C,F,L,ARI,20112012,R,7.0,62.57,8.94,14.69,0.0,0.0,0.0,0.0,4.0,5.0,7.0
Andy Sutton,ANDY.SUTTON,8467304,1975-03-10,36.0,D,D,L,EDM,20112012,R,52.0,867.57,16.68,27.35,3.0,3.0,4.0,10.0,41.0,56.0,78.0
Anthony Stewart,ANTHONY.STEWART,8470618,1985-01-05,26.0,R,F,R,CAR,20112012,R,77.0,625.6,8.12,13.36,9.0,5.0,6.0,20.0,64.0,87.0,105.0
Antoine Vermette,ANTOINE.VERMETTE,8468535,1982-07-20,29.0,C,F,L,ARI,20112012,R,22.0,376.53,17.12,27.79,3.0,6.0,1.0,10.0,43.0,59.0,72.0
Antoine Vermette,ANTOINE.VERMETTE,8468535,1982-07-20,29.0,C,F,L,CBJ,20112012,R,60.0,1034.45,17.24,28.35,8.0,11.0,8.0,27.0,106.0,153.0,182.0
Anton Babchuk,ANTON.BABCHUK,8470265,1984-05-06,27.0,D,D,R,CGY,20112012,R,32.0,463.65,14.49,23.69,2.0,5.0,3.0,10.0,48.0,74.0,124.0
Anton Lander,ANTON.LANDER,8475165,1991-04-24,20.0,C,F,L,EDM,20112012,R,56.0,594.4,10.61,17.5,2.0,0.0,4.0,6.0,54.0,68.0,84.0
Anton Stralman,ANTON.STRALMAN,8471873,1986-08-01,25.0,D,D,R,NYR,20112012,R,53.0,906.27,17.1,28.09,2.0,8.0,8.0,18.0,55.0,73.0,110.0
Anton Volchenkov,ANTON.VOLCHENKOV,8468501,1982-02-25,29.0,D,D,L,N.J,20112012,R,72.0,1294.48,17.98,29.42,2.0,4.0,5.0,11.0,63.0,92.0,147.0
Antti Miettinen,ANTTI.MIETTINEN,8468704,1980-07-03,31.0,R,F,R,WPG,20112012,R,45.0,526.82,11.71,19.2,5.0,4.0,4.0,13.0,58.0,78.0,104.0
Anze Kopitar,ANZE.KOPITAR,8471685,1987-08-24,24.0,C,F,L,L.A,20112012,R,82.0,1749.78,21.34,34.87,25.0,24.0,27.0,76.0,230.0,333.0,418.0
Arron Asham,ARRON.ASHAM,8465025,1978-04-13,33.0,R,F,R,PIT,20112012,R,64.0,591.08,9.24,15.22,5.0,9.0,2.0,16.0,49.0,68.0,92.0
Artem Anisimov,ARTEM.ANISIMOV,8473573,1988-05-24,23.0,C,F,L,NYR,20112012,R,79.0,1216.72,15.4,25.25,16.0,12.0,8.0,36.0,132.0,193.0,254.0
Arturs Kulda,ARTURS.KULDA,8473459,1988-07-25,23.0,D,D,L,WPG,20112012,R,9.0,97.83,10.87,18.12,0.0,0.0,0.0,0.0,8.0,11.0,14.0
B.J. Crombeen,B.J..CROMBEEN,8470647,1985-07-10,26.0,R,F,R,STL,20112012,R,40.0,332.12,8.3,13.62,1.0,2.0,0.0,3.0,50.0,64.0,83.0
Barret Jackman,BARRET.JACKMAN,8467890,1981-03-05,30.0,D,D,L,STL,20112012,R,81.0,1674.97,20.68,33.9,1.0,5.0,7.0,13.0,82.0,120.0,180.0
Ben Eager,BEN.EAGER,8470280,1984-01-22,27.0,L,F,L,EDM,20112012,R,63.0,538.1,8.54,14.12,8.0,4.0,1.0,13.0,69.0,94.0,121.0
Ben Holmstrom,BEN.HOLMSTROM,8475603,1987-04-09,24.0,C,F,R,PHI,20112012,R,5.0,33.6,6.72,10.5,0.0,0.0,0.0,0.0,3.0,4.0,4.0
Ben Lovejoy,BEN.LOVEJOY,8473933,1984-02-20,27.0,D,D,R,PIT,20112012,R,34.0,450.5,13.25,21.73,1.0,2.0,2.0,5.0,48.0,66.0,100.0
Ben Maxwell,BEN.MAXWELL,8473493,1988-03-30,23.0,C,F,L,ANA,20112012,R,6.0,46.53,7.76,12.8,0.0,1.0,0.0,1.0,6.0,7.0,8.0
Ben Maxwell,BEN.MAXWELL,8473493,1988-03-30,23.0,C,F,L,WPG,20112012,R,9.0,54.47,6.05,10.01,1.0,3.0,1.0,5.0,4.0,4.0,7.0
Ben Smith,BEN.SMITH,8474727,1988-07-11,23.0,R,F,R,CHI,20112012,R,13.0,127.57,9.81,16.03,2.0,0.0,0.0,2.0,18.0,20.0,24.0
Benn Ferriero,BENN.FERRIERO,8473600,1987-04-29,24.0,R,F,R,S.J,20112012,R,35.0,421.73,12.05,19.65,7.0,0.0,1.0,8.0,68.0,83.0,108.0
Benoit Pouliot,BENOIT.POULIOT,8471678,1986-09-29,24.0,L,F,L,BOS,20112012,R,74.0,903.57,12.21,20.04,16.0,9.0,7.0,32.0,107.0,148.0,174.0
Bill Sweatt,BILL.SWEATT,8474035,1988-09-21,22.0,L,F,L,VAN,20112012,R,2.0,10.68,5.34,8.55,0.0,0.0,0.0,0.0,2.0,2.0,3.0
Bill Thomas,BILL.THOMAS,8472361,1983-06-20,28.0,R,F,R,FLA,20112012,R,7.0,61.18,8.74,14.38,1.0,0.0,0.0,1.0,9.0,11.0,17.0
Blair Jones,BLAIR.JONES,8471767,1986-09-27,24.0,C,F,R,CGY,20112012,R,21.0,302.75,14.42,23.49,1.0,3.0,0.0,4.0,37.0,47.0,60.0
Blair Jones,BLAIR.JONES,8471767,1986-09-27,24.0,C,F,R,T.B,20112012,R,22.0,185.67,8.44,13.84,2.0,0.0,2.0,4.0,21.0,27.0,30.0
Blake Comeau,BLAKE.COMEAU,8471260,1986-02-18,25.0,L,F,R,CGY,20112012,R,58.0,934.18,16.11,26.25,5.0,5.0,5.0,15.0,117.0,158.0,234.0
Blake Comeau,BLAKE.COMEAU,8471260,1986-02-18,25.0,L,F,R,NYI,20112012,R,16.0,209.15,13.07,21.53,0.0,0.0,0.0,0.0,20.0,30.0,49.0
Blake Geoffrion,BLAKE.GEOFFRION,8473608,1988-02-03,23.0,C,F,L,MTL,20112012,R,13.0,158.85,12.22,19.81,2.0,0.0,0.0,2.0,17.0,23.0,36.0
Blake Geoffrion,BLAKE.GEOFFRION,8473608,1988-02-03,23.0,C,F,L,NSH,20112012,R,22.0,227.57,10.34,17.08,0.0,2.0,1.0,3.0,12.0,19.0,29.0
Blake Wheeler,BLAKE.WHEELER,8471218,1986-08-31,25.0,R,F,R,WPG,20112012,R,80.0,1526.03,19.08,31.36,17.0,31.0,16.0,64.0,208.0,310.0,371.0
Bobby Butler,BOBBY.BUTLER,8475637,1987-04-26,24.0,R,F,R,OTT,20112012,R,56.0,642.75,11.48,18.89,6.0,4.0,6.0,16.0,86.0,122.0,161.0
Bobby Ryan,BOBBY.RYAN,8471676,1987-03-17,24.0,R,F,R,ANA,20112012,R,82.0,1504.8,18.35,30.18,31.0,20.0,6.0,57.0,204.0,299.0,374.0
Bobby Sanguinetti,BOBBY.SANGUINETTI,8473610,1988-02-29,23.0,D,D,R,CAR,20112012,R,3.0,35.82,11.94,19.9,0.0,0.0,0.0,0.0,5.0,6.0,8.0
Boyd Gordon,BOYD.GORDON,8470159,1983-10-19,27.0,C,F,R,ARI,20112012,R,75.0,1194.48,15.93,26.02,8.0,8.0,7.0,23.0,114.0,137.0,171.0
Bracken Kearns,BRACKEN.KEARNS,8471996,1981-05-12,30.0,C,F,L,FLA,20112012,R,5.0,36.18,7.24,12.06,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Brad Boyes,BRAD.BOYES,8468504,1982-04-17,29.0,R,F,R,BUF,20112012,R,65.0,855.85,13.17,21.54,8.0,10.0,5.0,23.0,100.0,137.0,170.0
Brad Malone,BRAD.MALONE,8474089,1989-05-20,22.0,C,F,L,COL,20112012,R,9.0,90.38,10.04,16.33,0.0,2.0,0.0,2.0,6.0,10.0,12.0
Brad Marchand,BRAD.MARCHAND,8473419,1988-05-11,23.0,C,F,L,BOS,20112012,R,76.0,1339.32,17.62,28.97,28.0,13.0,14.0,55.0,167.0,217.0,274.0
